time_stamp, measured
1701007170.0,258.27
1701007185.0,266.079
1701007200.0,258.027
1701007215.0,258.658
1701007230.0,256.729
1701007245.0,258.308
1701007260.0,259.928
1701007275.0,262.588
1701007290.0,263.537
1701007305.0,257.883
1701007320.0,260.341
1701007335.0,258.941
1701007350.0,261.72
1701007365.0,261.92
1701007380.0,259.75
1701007395.0,271.238
1701007410.0,252.316
1701007425.0,252.258
1701007440.0,254.408
1701007455.0,264.512
1701007470.0,257.241
1701007485.0,262.325
1701007500.0,276.491
1701007515.0,268.499
1701007530.0,265.062
1701007545.0,269.479
1701007560.0,258.346
1701007575.0,258.508
1701007590.0,259.725
1701007605.0,262.825
1701007620.0,252.793
1701007635.0,252.908
1701007650.0,257.612
1701007665.0,263.125
1701007680.0,258.198
1701007695.0,256.526
1701007710.0,248.083
1701007725.0,252.025
1701007740.0,236.309
1701007755.0,408.05
1701007770.0,428.002
1701007785.0,419.326
1701007800.0,395.227
1701007815.0,420.954
1701007830.0,465.584
1701007845.0,460.392
1701007860.0,455.2
1701007875.0,450.008
1701007890.0,444.816
1701007905.0,439.624
1701007920.0,434.432
1701007935.0,429.24
1701007950.0,424.048
1701007965.0,418.856
1701007980.0,413.664
1701007995.0,408.472
1701008010.0,403.28
1701008025.0,398.088
1701008040.0,392.896
1701008055.0,387.704
1701008070.0,382.512
1701008085.0,377.32
1701008100.0,372.128
1701008115.0,366.936
1701008130.0,361.744
1701008145.0,356.552
1701008160.0,351.36
1701008175.0,346.168
1701008190.0,340.976
1701008205.0,335.784
1701008220.0,330.592
1701008235.0,325.4
1701008250.0,320.208
1701008265.0,315.016
1701008280.0,309.824
1701008295.0,304.632
1701008310.0,299.44
1701008325.0,294.248
1701008340.0,289.056
1701008355.0,283.864
1701008370.0,278.672
1701008385.0,273.48
1701008400.0,268.288
1701008415.0,263.096
1701008430.0,257.904
1701008445.0,252.712
1701008460.0,247.52
1701008475.0,242.328
1701008490.0,237.136
1701008505.0,231.944
1701008520.0,226.752
1701008535.0,221.56
1701008550.0,216.368
1701008565.0,211.176
1701008580.0,205.984
1701008595.0,200.792
1701008610.0,195.6
1701008625.0,190.408
1701008640.0,185.216
1701008655.0,180.024
1701008670.0,174.832
1701008685.0,169.64
1701008700.0,164.448
1701008715.0,159.256
1701008730.0,154.064
1701008745.0,148.872
1701008760.0,143.68
1701008775.0,138.488
1701008790.0,133.296
1701008805.0,128.104
1701008820.0,122.912
1701008835.0,117.72
1701008850.0,112.528
1701008865.0,107.336
1701008880.0,102.144
